Nama Prodi,Nama PT,Jenjang
Ketatalaksanaan Pelayaran Niaga Dan Kepel,Politeknik Maritim AMI Makassar,D-III
Teknika,Politeknik Maritim AMI Makassar,D-III
Nautika,Politeknik Maritim AMI Makassar,D-III
Manajemen Kepelabuhan,Politeknik Maritim AMI Makassar,D-III
Teknik Permesinan Kapal,Politeknik Maritim AMI Makassar,D-III
Teknika,Politeknik Maritim Negeri Indonesia,D-III
Nautika,Politeknik Maritim Negeri Indonesia,D-III
Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,Politeknik Maritim Negeri Indonesia,D-III
Nautika,Politeknik Maritim Negeri Indonesia,D-IV
Teknologi Komputer,Politeknik Masamy Internasional,D-III
Teknologi Mesin,Politeknik Masamy Internasional,D-III
Akuntansi,Politeknik Masamy Internasional,D-III
Desain Produk Mekatronika,Politeknik Mekatronika Sanata Dharma,D-III
Teknologi Elektromedis,Politeknik Mekatronika Sanata Dharma,D-III
Mekatronika,Politeknik Mekatronika Sanata Dharma,D-III
Teknologi Perancangan Mekanik,Politeknik Mekatronika Sanata Dharma,D-III
Teknik Industri,Politeknik Meta Industri Cikarang,D-III
Teknik Komputer,Politeknik Meta Industri Cikarang,D-III
Teknik Informatika,Politeknik Mitra Global,D-III
Akuntansi,Politeknik Mitra Global,D-III
Manajemen Informatika,Politeknik Mitra Karya Mandiri,D-III
Manajemen Informatika,Politeknik Muara Teweh,D-III
Teknik Pertambangan,Politeknik Muara Teweh,D-III
Teknologi Pengolahan Hasil Perkebunan,Politeknik Muara Teweh,D-III
Budidaya Perikanan Air Tawar,Politeknik Muhammadiyah Magelang,D-III
Teknik Lingkungan,Politeknik Muhammadiyah Magelang,D-III
Sekretari,Politeknik Muhammadiyah Magelang,D-III
Teknik Elektronika,Politeknik Muhammadiyah Pekalongan,D-III
Manajemen Informatika,Politeknik Muhammadiyah Pekalongan,D-III
Teknik Mesin,Politeknik Muhammadiyah Pekalongan,D-III
Akuntansi,Politeknik Muhammadiyah Tegal,D-III
Desain Produk,Politeknik Muhammadiyah Tegal,D-III
Teknik Elektro,Politeknik Muhammadiyah Tegal,D-III
Usaha Perjalanan Wisata,Politeknik Nasional,D-III
Teknik Elektronika,Politeknik Nasional Denpasar,D-III
Akuntansi,Politeknik Nasional Denpasar,D-III
Akuntansi,Politeknik Negeri Ambon,D-III
Teknik Sipil,Politeknik Negeri Ambon,D-III
Administrasi Bisnis,Politeknik Negeri Ambon,D-III
Administrasi Bisnis,Politeknik Negeri Ambon,D-IV
Teknik Listrik,Politeknik Negeri Ambon,D-III
Teknik Mesin,Politeknik Negeri Ambon,D-III
Manajemen Proyek Kontruksi,Politeknik Negeri Ambon,D-IV
Teknik Informatika,Politeknik Negeri Ambon,D-IV
Teknik Kontruksi Jalan Dan Jembatan,Politeknik Negeri Ambon,D-IV
Akuntansi Manajerial,Politeknik Negeri Bali,D-IV
Manajemen Bisnis Pariwisata,Politeknik Negeri Bali,D-IV
Teknik Sipil,Politeknik Negeri Bali,D-III
Manajemen Bisnis Internasional,Politeknik Negeri Bali,D-IV
Teknik Listrik,Politeknik Negeri Bali,D-III
Manajemen Proyek Konstruksi,Politeknik Negeri Bali,D-IV
Manajemen Informatika,Politeknik Negeri Bali,D-III
Perhotelan,Politeknik Negeri Bali,D-III
Teknik Pendingin Dan Tata Udara,Politeknik Negeri Bali,D-III
Akuntansi,Politeknik Negeri Bali,D-III
Administrasi Bisnis,Politeknik Negeri Bali,D-III
Usaha Perjalanan Wisata,Politeknik Negeri Bali,D-III
Teknik Mesin,Politeknik Negeri Bali,D-III
Teknik Otomasi,Politeknik Negeri Bali,D-IV
Perbankan Dan Keuangan,Politeknik Negeri Balikpapan,D-III
Teknik Elektronika,Politeknik Negeri Balikpapan,D-III
Divisi Kamar,Politeknik Negeri Balikpapan,D-III
Alat Berat,Politeknik Negeri Balikpapan,D-III
Teknik Sipil,Politeknik Negeri Balikpapan,D-III
Tata Boga,Politeknik Negeri Balikpapan,D-III
Teknologi Rekayasa Konstruksi Jalan Dan Jembatan,Politeknik Negeri Balikpapan,D-IV
Teknologi Listrik,Politeknik Negeri Balikpapan,D-III
Teknik Listrik,Politeknik Negeri Bandung,D-III
Manajemen Aset,Politeknik Negeri Bandung,D-IV
Teknik Otomasi Industri,Politeknik Negeri Bandung,D-IV
Teknik Perawatan Dan Perbaikan Gedung,Politeknik Negeri Bandung,D-IV
Teknik Aeronautika,Politeknik Negeri Bandung,D-III
Teknologi Pembangkit Tenaga Listrik,Politeknik Negeri Bandung,D-IV
Teknik Perancangan Dan Konstruksi Mesin,Politeknik Negeri Bandung,D-IV
Teknik Perancangan Jalan Dan Jembatan,Politeknik Negeri Bandung,D-IV
Manajemen Pemasaran,Politeknik Negeri Bandung,D-IV
Teknik Kimia Produksi Bersih,Politeknik Negeri Bandung,D-IV
Teknik Elektronika,Politeknik Negeri Bandung,D-IV
Bahasa Inggris,Politeknik Negeri Bandung,D-III
Teknik Telekomunikasi,Politeknik Negeri Bandung,D-IV
Teknik Konservasi Energi,Politeknik Negeri Bandung,D-IV
Akuntansi,Politeknik Negeri Bandung,D-IV
Teknik Konstruksi Gedung,Politeknik Negeri Bandung,D-III
Teknik Konversi Energi,Politeknik Negeri Bandung,D-III
Teknik Pendingin Dan Tata Udara,Politeknik Negeri Bandung,D-III
Proses Manufaktur,Politeknik Negeri Bandung,D-IV
Teknik Informatika,Politeknik Negeri Bandung,D-III
Akuntansi,Politeknik Negeri Bandung,D-III
Teknik Elektronika,Politeknik Negeri Bandung,D-III
Keuangan Dan Perbankan,Politeknik Negeri Bandung,D-III
Teknik Pendingin Dan Tata Udara,Politeknik Negeri Bandung,D-IV
Teknik Telekomunikasi,Politeknik Negeri Bandung,D-III
Teknik Konstruksi Sipil,Politeknik Negeri Bandung,D-III
Manajemen Pemasaran,Politeknik Negeri Bandung,D-III
Teknik Kimia,Politeknik Negeri Bandung,D-III
Administrasi Bisnis,Politeknik Negeri Bandung,D-III
Analis Kimia,Politeknik Negeri Bandung,D-III
Usaha Perjalanan Wisata,Politeknik Negeri Bandung,D-III
Administrasi Bisnis,Politeknik Negeri Bandung,D-IV
Keuangan Syariah,Politeknik Negeri Bandung,D-IV
Teknik Mesin,Politeknik Negeri Bandung,D-III
Akuntansi Manajemen Pemerintahan,Politeknik Negeri Bandung,D-IV
Teknik Informatika,Politeknik Negeri Bandung,D-IV
Administrasi Bisnis,Politeknik Negeri Banjarmasin,D-III
Teknik Mesin Otomotif,Politeknik Negeri Banjarmasin,D-III
Teknik Geodesi,Politeknik Negeri Banjarmasin,D-III
Teknik Pertambangan,Politeknik Negeri Banjarmasin,D-III
Elektronika,Politeknik Negeri Banjarmasin,D-III
Teknik Sipil,Politeknik Negeri Banjarmasin,D-III
Akuntansi Lembaga Keuangan Syariah,Politeknik Negeri Banjarmasin,D-IV
Teknik Mesin,Politeknik Negeri Banjarmasin,D-III
Teknik Informatika,Politeknik Negeri Banjarmasin,D-III
Alat Berat,Politeknik Negeri Banjarmasin,D-III
Teknik Bangunan Rawa,Politeknik Negeri Banjarmasin,D-IV
Komputerisasi Akuntansi,Politeknik Negeri Banjarmasin,D-III
Teknik Listrik,Politeknik Negeri Banjarmasin,D-III
Akuntansi,Politeknik Negeri Banjarmasin,D-III
Manajemen Informatika,Politeknik Negeri Banjarmasin,D-III
Teknik Informatika,Politeknik Negeri Banyuwangi,D-III
Agribisnis,Politeknik Negeri Banyuwangi,D-IV
Manajemen Bisnis Pariwisata,Politeknik Negeri Banyuwangi,D-IV
Teknologi Pengolahan Hasil Ternak,Politeknik Negeri Banyuwangi,D-IV
Teknik Manufaktur Kapal,Politeknik Negeri Banyuwangi,D-IV
Teknik Mesin,Politeknik Negeri Banyuwangi,D-III
Teknik Sipil,Politeknik Negeri Banyuwangi,D-III
Teknik Mesin,Politeknik Negeri Batam,D-III
Teknik Mekatronika,Politeknik Negeri Batam,D-IV
Teknik Multimedia Dan Jaringan,Politeknik Negeri Batam,D-IV
Akuntansi Manajerial,Politeknik Negeri Batam,D-IV
Teknik Geomatika,Politeknik Negeri Batam,D-III
Teknik Perencanaan Dan Konstruksi Kapal,Politeknik Negeri Batam,D-III
Teknik Elektronika Manufaktur,Politeknik Negeri Batam,D-III
Teknik Elektronika,Politeknik Negeri Batam,D-III
Akuntansi,Politeknik Negeri Batam,D-III
Teknik Informatika,Politeknik Negeri Batam,D-III
Administrasi Bisnis Terapan,Politeknik Negeri Batam,D-IV
Teknik Instrumentasi,Politeknik Negeri Batam,D-III
Teknik Perawatan Pesawat Udara,Politeknik Negeri Batam,D-III
Administrasi Bisnis,Politeknik Negeri Bengkalis,D-III
Teknik Perkapalan,Politeknik Negeri Bengkalis,D-III
Teknik Elektronika,Politeknik Negeri Bengkalis,D-III
Teknik Listrik,Politeknik Negeri Bengkalis,D-IV
Teknik Mesin Produksi Dan Perawatan,Politeknik Negeri Bengkalis,D-IV
Ketatalaksanaan Pelayaran Niaga,Politeknik Negeri Bengkalis,D-III
Nautika,Politeknik Negeri Bengkalis,D-III
Rekayasa Perangkat Lunak,Politeknik Negeri Bengkalis,D-IV
Akuntansi Keuangan Publik,Politeknik Negeri Bengkalis,D-IV
Administrasi Bisnis Internasional,Politeknik Negeri Bengkalis,D-IV
Teknik Sipil,Politeknik Negeri Bengkalis,D-III
Teknik Perancangan Jalan Dan Jembatan,Politeknik Negeri Bengkalis,D-IV
Teknik Mesin,Politeknik Negeri Bengkalis,D-III
Bahasa Inggris,Politeknik Negeri Bengkalis,D-III
Teknik Informatika,Politeknik Negeri Bengkalis,D-III
Teknik Informatika,Politeknik Negeri Cilacap,D-III
Teknik Elektronika,Politeknik Negeri Cilacap,D-III
Teknik Listrik,Politeknik Negeri Cilacap,D-III
Teknik Mesin,Politeknik Negeri Cilacap,D-III
Teknik Pengendalian Pencemaran Lingkungan,Politeknik Negeri Cilacap,D-IV
Teknik Sipil,Politeknik Negeri Fakfak,D-III
Manajemen Informatika,Politeknik Negeri Fakfak,D-III
Teknik Perawatan Dan Perbaikan Mesin,Politeknik Negeri Fakfak,D-III
Teknik Informatika,Politeknik Negeri Indramayu,D-III
Perancangan Manufaktur,Politeknik Negeri Indramayu,D-IV
Rekayasa Perangkat Lunak,Politeknik Negeri Indramayu,D-IV
Teknik Pendingin Dan Tata Udara,Politeknik Negeri Indramayu,D-III
Teknik Mesin,Politeknik Negeri Indramayu,D-III
Teknik Mesin,Politeknik Negeri Jakarta,D-III
Teknik Multimedia Dan Jaringan,Politeknik Negeri Jakarta,D-IV
Manufaktur,Politeknik Negeri Jakarta,D-IV
Alat Berat,Politeknik Negeri Jakarta,D-III
Teknik Listrik,Politeknik Negeri Jakarta,D-III
Teknik Konversi Energi,Politeknik Negeri Jakarta,D-III
Akuntansi Keuangan,Politeknik Negeri Jakarta,D-IV
Keuangan Dan Perbankan,Politeknik Negeri Jakarta,D-III
Teknik Otomasi Listrik Industri,Politeknik Negeri Jakarta,D-IV
Teknik Komputer Dan Jaringan,Politeknik Negeri Jakarta,D-I
Penerbitan,Politeknik Negeri Jakarta,D-III
Manajemen Keuangan,Politeknik Negeri Jakarta,D-IV
Teknik Konstruksi Gedung,Politeknik Negeri Jakarta,D-IV
Teknik Grafika,Politeknik Negeri Jakarta,D-III
Broadband Multimedia,Politeknik Negeri Jakarta,D-IV
Akuntansi,Politeknik Negeri Jakarta,D-III
Elektronika Industri,Politeknik Negeri Jakarta,D-III
Teknik Perancangan Jalan Dan Jembatan,Politeknik Negeri Jakarta,D-IV
Instrumentasi Dan Kontrol Industri,Politeknik Negeri Jakarta,D-IV
Telekomunikasi,Politeknik Negeri Jakarta,D-III
Desain Grafis,Politeknik Negeri Jakarta,D-IV
Teknologi Industri Cetak Kemasan,Politeknik Negeri Jakarta,D-IV
Administrasi Bisnis Terapan,Politeknik Negeri Jakarta,D-IV
Teknik Multimedia Digital,Politeknik Negeri Jakarta,D-IV
Keuangan Dan Perbankan Syari Ah,Politeknik Negeri Jakarta,D-IV
Keuangan Dan Perbankan,Politeknik Negeri Jakarta,D-IV
Konstruksi Gedung,Politeknik Negeri Jakarta,D-III
Konstruksi Sipil,Politeknik Negeri Jakarta,D-III
Pembangkit Tenaga Listrik,Politeknik Negeri Jakarta,D-IV
Manajemen Pemasaran Untuk Warga Negara Berkebutuhan Khusus,Politeknik Negeri Jakarta,D-III
Administrasi Bisnis,Politeknik Negeri Jakarta,D-III
Rekam Medik,POLITEKNIK NEGERI JEMBER,D-IV
Bahasa Inggris,Politeknik Negeri Jember,D-III
Mesin Otomotif,Politeknik Negeri Jember,D-IV
Teknik Energi Terbarukan,Politeknik Negeri Jember,D-IV
Teknologi Produksi Tanaman Pangan,Politeknik Negeri Jember,D-IV
Manajemen Bisnis Unggas,Politeknik Negeri Jember,D-IV
Teknik Informatika,Politeknik Negeri Jember,D-IV
Budidaya Tanaman Perkebunan,Politeknik Negeri Jember,D-IV
Produksi Tanaman Hortikultura,Politeknik Negeri Jember,D-III
Keteknikan Pertanian,Politeknik Negeri Jember,D-III
Manajemen Agroindustri,Politeknik Negeri Jember,D-IV
Produksi Ternak,Politeknik Negeri Jember,D-III
Produksi Tanaman Perkebunan,Politeknik Negeri Jember,D-III
Teknik Produksi Benih,Politeknik Negeri Jember,D-IV
Teknologi Industri Pangan,Politeknik Negeri Jember,D-III
Manajemen Informatika,Politeknik Negeri Jember,D-III
Teknik Komputer,Politeknik Negeri Jember,D-III
Manajemen Agribisnis,Politeknik Negeri Jember,D-III
Akuntansi Sektor Publik,Politeknik Negeri Jember,D-IV
Teknologi Pakan Ternak,Politeknik Negeri Jember,D-IV
Teknologi Rekayasa Pangan,Politeknik Negeri Jember,D-IV
Budidaya Tanaman Perkebunan,Politeknik Negeri Ketapang,D-IV
Teknologi Pengolahan Hasil Perkebunan,Politeknik Negeri Ketapang,D-III
Teknik Pertambangan,Politeknik Negeri Ketapang,D-III
Teknik Informatika,Politeknik Negeri Ketapang,D-III
Agroindustri,Politeknik Negeri Ketapang,D-III
Perawatan Dan Perbaikan Mesin,Politeknik Negeri Ketapang,D-III
Teknik Elektro,Politeknik Negeri Ketapang,D-III
Teknik Sipil,Politeknik Negeri Ketapang,D-IV
Usaha Perjalanan Wisata,Politeknik Negeri Kupang,D-IV
Mesin Perkakas,Politeknik Negeri Kupang,D-III
Teknik Elektronika,Politeknik Negeri Kupang,D-III
Akuntansi Sektor Publik,Politeknik Negeri Kupang,D-IV
Perhotelan,Politeknik Negeri Kupang,D-IV
Mesin Otomotif,Politeknik Negeri Kupang,D-III
Perawatan Dan Perbaikan Mesin,Politeknik Negeri Kupang,D-III
Teknik Komputer Dan Jaringan,Politeknik Negeri Kupang,D-III
Teknik Listrik,Politeknik Negeri Kupang,D-III
Teknik Perancangan Irigasi Dan Penanganan Pantai,Politeknik Negeri Kupang,D-IV
Perancangan Jalan Dan Jembatan,Politeknik Negeri Kupang,D-IV
Manajemen Perusahaan,Politeknik Negeri Kupang,D-IV
Teknik Mesin Produksi Dan Perawatan,Politeknik Negeri Kupang,D-IV
Teknik Instalasi Listrik,Politeknik Negeri Kupang,D-IV
Administrasi Bisnis,Politeknik Negeri Kupang,D-III
Agribisnis Pangan,Politeknik Negeri Lampung,D-IV
Teknologi Perbenihan,Politeknik Negeri Lampung,D-IV
Produksi Dan Manajemen Industri Perkebunan,Politeknik Negeri Lampung,D-IV
Agribisnis,Politeknik Negeri Lampung,D-III
Akuntansi,Politeknik Negeri Lampung,D-III
Teknologi Rekayasa Kimia Industri,Politeknik Negeri Lampung,D-IV
Akuntansi Perpajakan,Politeknik Negeri Lampung,D-IV
Teknologi Produksi Ternak,Politeknik Negeri Lampung,D-IV
Teknologi Produksi Tanaman Hortikultura,Politeknik Negeri Lampung,D-IV
Teknik Sumberdaya Lahan Dan Lingkungan,Politeknik Negeri Lampung,D-III
Manajemen Informatika,Politeknik Negeri Lampung,D-III
Teknologi Pangan,Politeknik Negeri Lampung,D-III
Hortikultura,Politeknik Negeri Lampung,D-III
Produksi Tanaman Pangan,Politeknik Negeri Lampung,D-III
Produksi Ternak,Politeknik Negeri Lampung,D-III
Produksi Tanaman Perkebunan,Politeknik Negeri Lampung,D-III
Mekanisasi Pertanian,Politeknik Negeri Lampung,D-III
Perikanan Tangkap,Politeknik Negeri Lampung,D-III
Teknologi Pembenihan Ikan,Politeknik Negeri Lampung,D-IV
Budidaya Perikanan,Politeknik Negeri Lampung,D-III
Teknologi Rekayasa Pembangkit Energi,Politeknik Negeri Lhokseumawe,D-IV
Teknologi Pengolahan Minyak Dan Gas,Politeknik Negeri Lhokseumawe,D-III
Teknologi Rekayasa  Manufaktur,Politeknik Negeri Lhokseumawe,D-IV
Teknologi Rekayasa Kimia Industri,Politeknik Negeri Lhokseumawe,D-IV
Teknologi Rekayasa Komputer Jaringan,Politeknik Negeri Lhokseumawe,D-IV
Teknologi Industri,Politeknik Negeri Lhokseumawe,D-III
Teknik Informatika,Politeknik Negeri Lhokseumawe,D-IV
Teknologi Konstruksi Bangunan Air,Politeknik Negeri Lhokseumawe,D-III
Teknologi Elektronika,Politeknik Negeri Lhokseumawe,D-III
Teknologi Telekomunikasi,Politeknik Negeri Lhokseumawe,D-III
Teknologi Rekayasa Instrumentasi Dan Kontrol,Politeknik Negeri Lhokseumawe,D-IV
Akuntansi Lembaga Keuangan Syariah,Politeknik Negeri Lhokseumawe,D-IV
Teknologi Kimia,Politeknik Negeri Lhokseumawe,D-III
Teknologi Konstruksi Bangunan Gedung,Politeknik Negeri Lhokseumawe,D-III
Teknologi Listrik,Politeknik Negeri Lhokseumawe,D-III
Akuntansi,Politeknik Negeri Lhokseumawe,D-III
Administrasi Bisnis,Politeknik Negeri Lhokseumawe,D-III
Perbankan Dan Keuangan,Politeknik Negeri Lhokseumawe,D-III
Teknologi Rekayasa Konstruksi Jalan Dan Jembatan,Politeknik Negeri Lhokseumawe,D-IV
Teknologi Mesin,Politeknik Negeri Lhokseumawe,D-III
Teknologi Rekayasa Jaringan Telekomunikasi,Politeknik Negeri Lhokseumawe,D-IV
Teknologi Konstruksi Jalan Dan Jembatan,Politeknik Negeri Lhokseumawe,D-III
Teknologi Rekayasa Pengelasan Dan Fabrikasi,Politeknik Negeri Lhokseumawe,D-IV
Administrasi Bisnis,Politeknik Negeri Madiun,D-III
Komputerisasi Akuntansi,Politeknik Negeri Madiun,D-III
Bahasa Inggris,Politeknik Negeri Madiun,D-III
Mesin Otomotif,Politeknik Negeri Madiun,D-III
Teknik Listrik,Politeknik Negeri Madiun,D-III
Teknik Komputer Kontrol,Politeknik Negeri Madiun,D-III
Teknologi Informasi,Politeknik Negeri Madiun,D-III
Perkeretaapian,Politeknik Negeri Madiun,D-IV
Akuntansi,Politeknik Negeri Madiun,D-III
Teknik Listrik Industri,Politeknik Negeri Madura,D-III
Teknik Mesin Alat Berat,Politeknik Negeri Madura,D-III
Keperawatan,POLITEKNIK NEGERI MADURA,D-III
Teknik Bangunan Kapal,Politeknik Negeri Madura,D-III
Teknik Elektronika,Politeknik Negeri Malang,D-III
Teknik Listrik,Politeknik Negeri Malang,D-III
Akuntansi Manajemen,Politeknik Negeri Malang,D-IV
Teknik Mesin Produksi Dan Perawatan,Politeknik Negeri Malang,D-IV
Teknik Mesin,Politeknik Negeri Malang,D-III
Sistem Kelistrikan,Politeknik Negeri Malang,D-IV
Teknik Informatika,Politeknik Negeri Malang,D-IV
Teknik Telekomunikasi,Politeknik Negeri Malang,D-III
Akuntansi,Politeknik Negeri Malang,D-III
Teknik Elektronika,Politeknik Negeri Malang,D-IV
Keuangan,Politeknik Negeri Malang,D-IV
Teknologi Kimia Industri,Politeknik Negeri Malang,D-IV
Bahasa Inggris,Politeknik Negeri Malang,D-III
Manajemen Informatika,Politeknik Negeri Malang,D-III
Teknik Kimia,Politeknik Negeri Malang,D-III
Administrasi Bisnis,Politeknik Negeri Malang,D-III
Manajemen Rekayasa Konstruksi,Politeknik Negeri Malang,D-IV
Jaringan Telekomunikasi Digital,Politeknik Negeri Malang,D-IV
Manajemen Pemasaran,Politeknik Negeri Malang,D-IV
Teknik Otomotif Elektronik,Politeknik Negeri Malang,D-IV
Teknik Sipil,Politeknik Negeri Malang,D-III
Bahasa Inggris Untuk Komunikasi Bisnis Dan Profesional,Politeknik Negeri Malang,D-IV
Teknologi Pertambangan,Politeknik Negeri Malang,D-III
Perhotelan,Politeknik Negeri Manado,D-IV
Teknik Listrik,Politeknik Negeri Manado,D-III
Administrasi Bisnis,Politeknik Negeri Manado,D-III
Ekowisata Bawah Laut,Politeknik Negeri Manado,D-III
Akuntansi Keuangan,Politeknik Negeri Manado,D-IV
Teknik Listrik,Politeknik Negeri Manado,D-IV
Pariwisata,Politeknik Negeri Manado,D-III
Konstruksi Bangunan Gedung,Politeknik Negeri Manado,D-IV
Manajemen Bisnis,Politeknik Negeri Manado,D-IV
Akuntansi Perpajakan,Politeknik Negeri Manado,D-III
Teknik Komputer,Politeknik Negeri Manado,D-III
Teknik Jalan Jembatan,Politeknik Negeri Manado,D-IV
Teknik Mesin Produksi Dan Perawatan,Politeknik Negeri Manado,D-IV
Usaha Perjalanan Wisata,Politeknik Negeri Manado,D-III
Teknik Informatika,Politeknik Negeri Manado,D-IV
Akuntansi,Politeknik Negeri Manado,D-III
Teknik Sipil,Politeknik Negeri Manado,D-III
Manajemen Pemasaran,Politeknik Negeri Manado,D-III
Teknik Mesin,Politeknik Negeri Manado,D-III
Manajemen Bisnis,Politeknik Negeri Medan,D-IV
Akuntansi Keuangan Publik,Politeknik Negeri Medan,D-IV
Teknik Elektronika,Politeknik Negeri Medan,D-III
Teknik Komputer,Politeknik Negeri Medan,D-III
Keuangan Dan Perbankan Syariah,Politeknik Negeri Medan,D-IV
Teknik Telekomunikasi,Politeknik Negeri Medan,D-III
Teknik Listrik,Politeknik Negeri Medan,D-III
Teknik Perancangan Jalan Dan Jembatan,Politeknik Negeri Medan,D-IV
Manajemen Rekayasa Konstruksi Gedung,Politeknik Negeri Medan,D-IV
Akuntansi,Politeknik Negeri Medan,D-III
Keuangan Dan Perbankan,Politeknik Negeri Medan,D-III
Teknik Konversi Energi,Politeknik Negeri Medan,D-III
Manajemen Informatika,Politeknik Negeri Medan,D-III
Administrasi Bisnis,Politeknik Negeri Medan,D-III
Teknik Sipil,Politeknik Negeri Medan,D-III
Desain Grafis,Politeknik Negeri Media Kreatif,D-III
Teknik Grafika,Politeknik Negeri Media Kreatif,D-III
Periklanan,Politeknik Negeri Media Kreatif,D-III
Penerbitan,Politeknik Negeri Media Kreatif,D-III
Fotografi,Politeknik Negeri Media Kreatif,D-III
Teknik Kemasan,Politeknik Negeri Media Kreatif,D-III
Desain Grafis (Kampus Medan),Politeknik Negeri Media Kreatif,D-III
Desain Grafis (Kampus Makassar),Politeknik Negeri Media Kreatif,D-III
Teknik Grafika (Kampus Makassar),Politeknik Negeri Media Kreatif,D-III
Teknik Grafika (Kampus Medan),Politeknik Negeri Media Kreatif,D-III
Sistem Informasi,Politeknik Negeri Nusa Utara,D-III
Teknologi Budidaya Ikan,Politeknik Negeri Nusa Utara,D-III
Teknologi Penangkapan Ikan,Politeknik Negeri Nusa Utara,D-III
Teknologi Pengolahan Hasil Laut,Politeknik Negeri Nusa Utara,D-III
Akuntansi,Politeknik Negeri Padang,D-III
Bahasa Inggris,Politeknik Negeri Padang,D-III
Manajemen Rekayasa Konstruksi,Politeknik Negeri Padang,D-IV
Perencanaan Jalan Dan Jembatan,Politeknik Negeri Padang,D-IV
Usaha Perjalanan Wisata,Politeknik Negeri Padang,D-III
Teknik Telekomunikasi,Politeknik Negeri Padang,D-IV
Teknik Alat Berat,Politeknik Negeri Padang,D-III
Teknik Elektronika,Politeknik Negeri Padang,D-IV
Teknik Perencanaan Irigasi Dan Rawa,Politeknik Negeri Padang,D-IV
Teknik Manufaktur,Politeknik Negeri Padang,D-IV
Akuntansi,Politeknik Negeri Padang,D-IV
Administrasi Bisnis,Politeknik Negeri Padang,D-III
Teknik Mesin,Politeknik Negeri Padang,D-III
Teknik Listrik,Politeknik Negeri Padang,D-III
Manajemen Informatika,Politeknik Negeri Padang,D-III
Teknik Komputer,Politeknik Negeri Padang,D-III
Teknologi Rekayasa Perangkat Lunak,Politeknik Negeri Padang,D-IV
Teknologi Rekayasa Instalasi Listrik,Politeknik Negeri Padang,D-IV
Teknik Telekomunikasi,Politeknik Negeri Padang,D-III
Teknik Elektronika,Politeknik Negeri Padang,D-III
Teknik Sipil,Politeknik Negeri Padang,D-III
Teknik Mesin,Politeknik Negeri Pontianak,D-III
Perencanaan Perumahan Dan Pemukiman,Politeknik Negeri Pontianak,D-IV
Akuntansi,Politeknik Negeri Pontianak,D-III
Teknologi Pengolahan Hasil Perkebunan,Politeknik Negeri Pontianak,D-III
Teknik Informatika,Politeknik Negeri Pontianak,D-III
Teknik Elektronika,Politeknik Negeri Pontianak,D-III
Teknik Listrik,Politeknik Negeri Pontianak,D-III
Teknik Sipil,Politeknik Negeri Pontianak,D-III
Administrasi Negara,Politeknik Negeri Pontianak,D-IV
Operator Dan Peralatan Alat Berat,Politeknik Negeri Pontianak,D-I
Akuntansi,Politeknik Negeri Pontianak,D-IV
Budidaya Tanaman Perkebunan,Politeknik Negeri Pontianak,D-IV
Budidaya Perikanan,Politeknik Negeri Pontianak,D-III
Teknik Mesin,Politeknik Negeri Pontianak,D-IV
Manajemen Perkebunan,Politeknik Negeri Pontianak,D-IV
Teknologi Budidaya Perikanan K. Kab. Kapuas Hulu,Politeknik Negeri Pontianak,D-III
Teknik Sipil K. Kab. Kapuas Hulu,Politeknik Negeri Pontianak,D-III
Administrasi Bisnis,Politeknik Negeri Pontianak,D-III
Teknologi Pengolahan Hasil Perikanan,Politeknik Negeri Pontianak,D-III
Arsitektur,Politeknik Negeri Pontianak,D-III
Arsitektur Bangunan Gedung,Politeknik Negeri Pontianak,D-IV
Desain Kawasan Binaan,Politeknik Negeri Pontianak,D-IV
Teknologi Penangkapan Ikan,Politeknik Negeri Pontianak,D-III
Teknologi Mesin (Kampus Kab. Sanggau),Politeknik Negeri Pontianak,D-III
Akuntansi (Kampus Kab. Sanggau),Politeknik Negeri Pontianak,D-III
Pengelolaan Hasil Perkebunan (Kampus Kab. Sanggau),Politeknik Negeri Pontianak,D-III
Teknologi Kimia Industri,Politeknik Negeri Samarinda,D-IV
Administrasi Bisnis,Politeknik Negeri Samarinda,D-III
Teknik Sipil,Politeknik Negeri Samarinda,D-III
Arsitektur,Politeknik Negeri Samarinda,D-III
Teknik Informatika Multimedia,Politeknik Negeri Samarinda,D-IV
Teknik Alat Berat,Politeknik Negeri Samarinda,D-III
Akuntansi,Politeknik Negeri Samarinda,D-III
Akuntansi Manajerial,Politeknik Negeri Samarinda,D-IV
Teknik Informatika,Politeknik Negeri Samarinda,D-III
Petro Dan Oleo Kimia,Politeknik Negeri Samarinda,D-III
Desain Produk,Politeknik Negeri Samarinda,D-III
Teknik Mesin Produksi Dan Perawatan,Politeknik Negeri Samarinda,D-IV
Teknika,Politeknik Negeri Samarinda,D-III
Perawatan Dan Perbaikan Mesin,Politeknik Negeri Samarinda,D-III
Rekayasa Jalan Dan Jembatan,Politeknik Negeri Samarinda,D-IV
Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,Politeknik Negeri Samarinda,D-III
Teknik Listrik,Politeknik Negeri Samarinda,D-III
Teknik Listrik,Politeknik Negeri Samarinda,D-IV
Teknik Komputer,Politeknik Negeri Samarinda,D-III
Nautika,Politeknik Negeri Samarinda,D-III
Teknologi Rekayasa Komputer,Politeknik Negeri Samarinda,D-IV
Manajemen Pemasaran,Politeknik Negeri Samarinda,D-IV
